"","day","hour","PRES_hourly","SPED_hourly","DIR_hourly","T_hourly","RH_hourly"
"1","2016-01-01",0,101225.012900541,1.81467748434654,231.382743144925,-270.482035232652,91.1330629908339
"2","2016-01-01",1,101253.972222222,1.13611111206313,237.391593136045,-271.060833909777,93.4180554495917
"3","2016-01-01",2,101274.611111111,1.25027777360131,165.963707458982,-272.075555759006,95.6402780532837
"4","2016-01-01",3,101310.666666667,1.19444444115377,119.359979588516,-272.260555945502,96.7799999660916
"5","2016-01-01",4,101330.777777778,1.48166666833891,83.7730885013869,-273.275277201335,97.8505557590061
"6","2016-01-01",5,101298.25,2.53305554952887,85.8975570370735,-273.291481074581,98.7029632003219
"7","2016-01-01",6,101259.888888889,2.22583332194222,80.0141007786995,-272.662995803966,98.7288887652565
"8","2016-01-01",7,101234.388888889,2.24666665527556,80.1761715868411,-272.544725545247,99.0797220653958
"9","2016-01-01",8,101180.75,3.21333333071735,111.605122084683,-270.704998524984,94.6533333036635
"10","2016-01-01",9,101087.916666666,4.54499999218517,121.614785610281,-268.674999745687,81.4488889906142
"11","2016-01-01",10,101014.777777778,4.65444443424543,121.171828648907,-267.922776201036,79.0086110856798
"12","2016-01-01",11,100892.027777778,5.19166666203075,123.76751380014,-266.947499847412,81.4483332528009
"13","2016-01-01",12,100751.583333333,4.27750000026491,122.681907381821,-265.934999847412,83.8552777820163
"14","2016-01-01",13,100584.888888889,7.2152777923478,140.562090961797,-264.827773369683,83.6530553393894
"15","2016-01-01",14,100439.722222222,6.67527776923445,139.36539510029,-265.106115637885,92.5447221544054
"16","2016-01-01",15,100291.444444444,6.89111111097866,141.693521780037,-264.74722603692,94.4319444444444
"17","2016-01-01",16,100186.361111111,7.27972222963969,138.692311295629,-264.478060319688,91.6111112382677
"18","2016-01-01",17,100063.722222222,8.78111111852857,140.790113464634,-264.44703990795,88.6570371557165
"19","2016-01-01",18,99966.2500000001,8.79249998728434,141.779103353475,-264.591206411297,86.4512298483973
"20","2016-01-01",19,99845.8888888889,8.09555554919773,137.601720975357,-264.837218390571,86.3594444062975
