"date","PRES","SPED","DIR","T","RH"
2016-01-04 00:15:00,97506.6292134831,3.82247190261155,194.05638007696,-266.725836867429,91.9146071873354
2016-01-04 00:30:00,97495.4444444444,4.25555556085375,195.663297623529,-266.799996609158,92.2355556064182
2016-01-04 00:45:00,97489.4444444444,4.49111111693912,203.732155914496,-266.43000149197,91.4777774386936
2016-01-04 01:00:00,97482.7777777778,3.69888887935215,198.095888141406,-266.551111518012,91.424444410536
2016-01-04 01:15:00,97467,3.61555555661519,200.727125717807,-266.891110568576,92.0077779134115
2016-01-04 01:30:00,97456.5555555556,4.64888888200124,210.280618111158,-266.727777438694,91.802222442627
2016-01-04 01:45:00,97451,5.38111111587948,200.733955238468,-266.520007324219,91.7044443766276
2016-01-04 02:00:00,97454,6.34555554919773,206.138637687702,-266.447780693902,91.8933332655165
2016-01-04 02:15:00,97462.1111111111,5.77777779102325,209.758852887238,-266.476671346029,92.1066669040256
2016-01-04 02:30:00,97470.4444444444,4.78444441424476,204.679957433592,-266.498893907335,92.065555996365
2016-01-04 02:45:00,97461.7777777778,4.73444444338481,211.577577976259,-266.440002441406,92.2100002712674
2016-01-04 03:00:00,97465.3333333333,4.0222222328186,208.734756359008,-266.521117485894,92.7544442070855
2016-01-04 03:15:00,97449.8888888889,4.13666666878594,200.517123499406,-266.646668158637,93.5911113315158
2016-01-04 03:30:00,97449.8888888889,4.53111111058129,205.05626685221,-266.538896009657,93.5499997456868
2016-01-04 03:45:00,97450.5555555556,5.13000000847711,199.126973341183,-266.517782931858,93.2922220018175
2016-01-04 04:00:00,97445.5555555556,5.01888890001509,196.906998942516,-266.654446072049,92.9800002204047
2016-01-04 04:15:00,97423.1111111111,4.45222220420837,191.18249781655,-266.962226019965,93.7955554538303
2016-01-04 04:30:00,97423.8888888889,4.75777775976393,192.234723444171,-266.878887600369,94.4044441223145
2016-01-04 04:45:00,97424.5555555556,4.55555555025737,189.871705415444,-266.913334147135,94.3722219679091
2016-01-04 05:00:00,97413.7777777778,4.92444445292155,193.600091732255,-266.9,94.1688887702094
2016-01-04 05:15:00,97403.6666666667,5.60999999046326,195.148394307182,-266.66555480957,93.1399996439616
2016-01-04 05:30:00,97388.5555555556,5.65444444550408,191.928636231974,-266.537780761719,91.9466668870714
2016-01-04 05:45:00,97389.5555555556,5.55444442960951,193.176795760012,NA,NA
2016-01-04 06:00:00,97383.3333333333,5.43111113707225,191.002338025473,-266.344940459862,90.1471909083677
2016-01-04 06:15:00,97384.4444444444,4.94777779314253,193.892832527309,-266.440002441406,90.6299995422363
2016-01-04 06:30:00,97375.4444444444,5.38444446192847,194.337516948113,-266.464448377821,91.0200001186795
2016-01-04 06:45:00,97373.5555555556,4.90666666560703,192.617585445785,-266.498894924588,91.8711112128364
2016-01-04 07:00:00,97362,4.57777779102325,192.384707371872,-266.543342081706,92.7788888719347
2016-01-04 07:15:00,97356.8888888889,5.64222221374512,195.750379598043,-266.417778862847,93.6555553860135
2016-01-04 07:30:00,97360.3333333333,5.86111111376021,198.371572775712,-266.228881835938,93.8611111111111
2016-01-04 07:45:00,97355.3333333333,5.77333332167731,199.598891137834,-266.142223103841,93.2533332824707
2016-01-04 08:00:00,97351.4444444444,5.50555555820465,199.087218415871,-266.038896009657,92.0722222222222
2016-01-04 08:15:00,97346.6666666667,5.77222221692403,199.558116208577,-265.868887329102,92.2599998474121
2016-01-04 08:30:00,97360.5555555556,5.49888889524672,195.73618305982,-265.898888821072,92.3244444953071
2016-01-04 08:45:00,97373.1111111111,5.89333333439297,198.572522475825,-265.913334147135,92.6144445631239
2016-01-04 09:00:00,97375.7777777778,5.82111112806532,201.691132561236,-265.749990844727,92.1555552164714
2016-01-04 09:15:00,97368.8888888889,5.8111111164093,201.750548317981,-265.659999254015,91.5799997965495
2016-01-04 09:30:00,97379.5555555556,5.35888888570997,203.70707635498,-265.662217881944,91.4177782694499
2016-01-04 09:45:00,97383.1111111111,5.55888888570997,205.008844643165,-265.458887736003,90.0600003560384
2016-01-04 10:00:00,97386.2222222222,5.82666665448083,210.582631805569,-265.055554538303,88.0833333333333
2016-01-04 10:15:00,97394.1111111111,5.54555556774139,209.669055352614,-264.836666531033,87.6666668362088
2016-01-04 10:30:00,97389.3333333333,5.77999999788072,210.924580751996,-264.506673177083,87.2777778625488
2016-01-04 10:45:00,97388.1111111111,5.7322222020891,209.677429212695,-264.632225884332,88.1733332316081
2016-01-04 11:00:00,97388.4444444444,4.85888888570997,207.764237526076,-264.701103379991,89.2655560811361
2016-01-04 11:15:00,97379.6666666667,4.60555554760827,203.965267524847,-264.796660359701,90.2222224765354
2016-01-04 11:30:00,97370.5555555556,4.59000002543131,201.240574856667,-264.404442342122,89.9211112976074
2016-01-04 11:45:00,97367.7777777778,5.42111113071442,208.389677727573,-263.75444132487,87.2922222561306
2016-01-04 12:00:00,97352.2222222222,5.71444444126553,210.428544658852,-263.506666395399,86.3722221374512
2016-01-04 12:15:00,97345,5.26777778466543,217.041014100887,-263.322219170464,84.224444325765
2016-01-04 12:30:00,97345,6.09555553860135,221.88052728087,-263.484447224935,83.3700000339084
2016-01-04 12:45:00,97348,5.62999999523163,217.163006445821,-263.366664632161,83.0666665818956
2016-01-04 13:00:00,97337,5.43111112382677,230.171332110988,-263.236662462023,82.148888736301
2016-01-04 13:15:00,97346.5555555556,5.45444444815318,234.381897742141,-263.15110812717,82.3844442579481
2016-01-04 13:30:00,97337.4444444444,4.51777778201633,224.054095726189,-263.523335096571,83.3300002204047
